"","Date_UTC","ClickTime_UTC","clickDepth_m","fit_line","lwr_CI_99","upr_CI_99"
"92","2016-07-25","2016-07-25_21:23:51.589",147.050226426479,168.416176395706,155.544979307348,181.287373484064
"93","2016-07-25","2016-07-25_21:23:52.101",219.176030609431,168.456560983022,155.544959265221,181.368162700824
"94","2016-07-25","2016-07-25_21:23:52.602",171.091091034889,168.497243558994,155.545847205368,181.448639912621
"95","2016-07-25","2016-07-25_21:23:53.098",142.807831992415,168.538356649474,155.547291509846,181.529421789103
"96","2016-07-25","2016-07-25_21:23:53.415",148.464365310139,168.564932698872,155.548371914603,181.581493483142
"97","2016-07-25","2016-07-25_21:23:53.937",139.979587550501,168.608970760381,155.550195111653,181.66774640911
"98","2016-07-25","2016-07-25_21:23:54.102",144.221959767588,168.622916520659,155.55074160164,181.695091439678
"99","2016-07-25","2016-07-25_21:23:54.461",145.636091245646,168.653222837964,155.551813449147,181.754632226781
"100","2016-07-25","2016-07-25_21:23:54.614",147.050226426479,168.666102535327,155.552204053564,181.78000101709
"101","2016-07-25","2016-07-25_21:23:55.144",145.636091245646,168.710399081003,155.55313351636,181.867664645647
"102","2016-07-25","2016-07-25_21:23:57.375",146.614942866407,168.88422959941,155.545000514967,182.223458683853
"103","2016-07-25","2016-07-25_21:23:57.950",167.969971150745,168.923563761491,155.538529313905,182.308598209077
"104","2016-07-25","2016-07-25_21:23:59.092",148.038585019783,168.991935644989,155.518983533098,182.46488775688
"105","2016-07-25","2016-07-25_21:23:59.607",152.309534107507,169.017762124305,155.506993292315,182.528530956295
"106","2016-07-25","2016-07-25_21:24:00.529",148.147758187492,169.054855289909,155.480191836008,182.629518743809
"107","2016-07-25","2016-07-25_21:24:00.938",164.92182411758,169.067149870217,155.466003566799,182.668296173636
"108","2016-07-25","2016-07-25_21:24:02.329",146.749943428319,169.087097000383,155.406472596024,182.767721404742
"109","2016-07-25","2016-07-25_21:24:12.459",179.327275028274,169.148417399374,155.265480035294,183.031354763454
"110","2016-07-25","2016-07-25_21:24:12.966",219.339588651023,169.154479999134,155.225676952984,183.083283045284
"111","2016-07-25","2016-07-25_21:24:13.467",144.836400629014,169.160790724169,155.180519506355,183.141061941984
"112","2016-07-25","2016-07-25_21:24:13.957",237.277153907533,169.167275579315,155.130897282095,183.203653876535
"113","2016-07-25","2016-07-25_21:24:14.447",177.947595618244,169.174074652164,155.076117881731,183.272031422597
"114","2016-07-25","2016-07-25_21:24:14.936",255.215344943138,169.181178051758,155.016636684105,183.345719419411
